subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103760,I,0.096,7.835,1,85239,DE-F-O-2-N-U,1,6607,training,1
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103761,I,0.76,2.669,1,85240,UE-P-O-3-N-U,2,6607,training,1
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103759,I,0.92,3.04,1,85238,UE-E-O-1-N-U,3,6607,training,1
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103782,I,0.452,5.172,1,85261,DE-N-N-9-T-U,1,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103818,I,0.156,4.589,1,85297,DE-F-O-1-T-D,2,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103876,I,0.396,6.517,1,85355,NM-Ex-P-7-T-D,3,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103883,I,0.276,3.663,1,85362,UE-M-P-10-T-D,4,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103786,I,0.894,3.788,1,85265,DE-No-N-9-T-D,5,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103888,I,0.884,4.051,1,85367,UE-M-P-7-T-U,6,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103774,I,0.68,4.152,1,85253,DE-F-N-9-T-U,7,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103852,I,0.492,7.545,1,85331,NM-On-O-3-T-D,8,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103811,I,0.392,2.593,1,85290,NM-Ex-O-6-T-D,9,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103784,I,0.348,4.96,1,85263,DE-N-N-11-T-U,10,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103776,I,0.456,3.386,1,85255,DE-F-N-11-T-U,11,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103843,I,0.914,2.552,1,85322,DE-No-O-6-T-D,12,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103779,I,0.956,9.712,1,85258,DE-N-N-2-T-D,13,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103798,I,0.33,4.133,1,85277,NM-On-N-9-T-U,14,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103801,I,0.338,2.877,1,85280,NM-On-N-4-T-U,15,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103799,I,0.262,6.266,1,85278,NM-On-N-2-T-U,16,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103763,I,0.3,3.602,1,85242,NM-Ex-N-2-T-D,17,6608,target,2
7511,2013-02-20_22:31:33,68.226.92.132,1,1992,2,Man,3,English,4,ANER3E57,53.386,103905,I,0.428,4.502,1,85384,UE-P-P-12-T-U,18,6608,target,2
