"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105652","I","0.822","7.931","1","86871","UE-P-O-3-N-U","1","6637","training","1",NA,"256"
"2","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105651","I","0.028","4.711","1","86870","DE-F-O-2-N-U","2","6637","training","1",NA,"256"
"3","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105650","I","0.964","4.341","1","86869","UE-E-O-1-N-U","3","6637","training","1",NA,"256"
"4","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105750","I","0.196","14.594","1","86969","UE-P-O-10-T-D","1","6638","target","2",NA,"256"
"5","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105816","I","0.694","14.982","1","87035","DD-Nw-N-8-T-D","2","6638","target","2",NA,"256"
"6","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105763","I","0.942","6.451","1","86982","UE-E-P-3-T-U","3","6638","target","2",NA,"256"
"7","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105685","I","0.148","8.646","1","86904","NM-On-N-5-T-D","4","6638","target","2",NA,"256"
"8","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105835","I","0.308","10.496","1","87054","DD-Nw-O-11-T-U","5","6638","target","2",NA,"256"
"9","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105829","I","0.386","6.817","1","87048","DD-Nw-O-9-T-D","6","6638","target","2",NA,"256"
"10","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105842","I","0.132","12.989","1","87061","DD-Ew-O-10-T-U","7","6638","target","2",NA,"256"
"11","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105811","I","0.76","9.667","1","87030","DD-Ew-P-3-T-U","8","6638","target","2",NA,"256"
"12","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105680","I","0.28","16.552","1","86899","DE-No-N-8-T-D","9","6638","target","2",NA,"256"
"13","7747","2013-02-28_21:09:41","71.119.124.115","1","1962","2","Woman","3","English","4","JUVCCX2D","35.571","105718","I","0.356","8.144","1","86937","UE-M-O-10-T-D","10","6638","target","2",NA,"256"
