subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103173,I,0.572,5.937,1,84652,UE-P-O-3-N-U,1,6599,training,1
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103171,I,0.918,3.919,1,84650,UE-E-O-1-N-U,2,6599,training,1
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103172,I,0.046,4.696,1,84651,DE-F-O-2-N-U,3,6599,training,1
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103263,I,0.392,3.459,1,84742,NM-On-O-10-T-D,1,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103176,I,0.282,6.599,1,84655,NM-Ex-N-7-T-D,2,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103203,I,0.124,3.815,1,84682,DE-No-N-6-T-U,3,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103314,I,0.854,4.264,1,84793,UE-P-P-1-T-U,4,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103175,I,0.246,6.415,1,84654,NM-Ex-N-6-T-D,5,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103242,I,0.988,3.231,1,84721,UE-M-O-9-T-U,6,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103306,I,0.226,6.453,1,84785,NM-On-P-1-T-U,7,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103302,I,0.194,3.165,1,84781,NM-On-P-1-T-D,8,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103285,I,0.648,4.04,1,84764,UE-E-P-4-T-U,9,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103186,I,0.278,3.992,1,84665,DE-F-N-5-T-U,10,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103281,I,0.162,2.972,1,84760,UE-E-P-4-T-D,11,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103257,I,0.978,4.452,1,84736,DE-No-O-12-T-D,12,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103182,I,0.198,2.492,1,84661,DE-F-N-5-T-D,13,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103219,I,0.986,4.281,1,84698,UE-E-O-10-T-U,14,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103212,I,0.158,6.426,1,84691,NM-On-N-7-T-U,15,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103205,I,0.16,3.526,1,84684,DE-No-N-8-T-U,16,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103227,I,0.224,5.345,1,84706,NM-Ex-O-10-T-U,17,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103307,I,0.208,2.847,1,84786,NM-On-P-2-T-U,18,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103294,I,0.896,4.604,1,84773,UE-M-P-1-T-D,19,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103191,I,0.972,5.817,1,84670,DE-N-N-6-T-D,20,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103209,I,0.222,2.796,1,84688,NM-On-N-8-T-D,21,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103296,I,0.196,3.321,1,84775,UE-M-P-3-T-D,22,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103293,I,0.168,4.159,1,84772,NM-Ex-P-4-T-U,23,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103195,I,0.172,2.854,1,84674,DE-N-N-6-T-U,24,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103214,I,0.172,2.944,1,84693,UE-E-O-9-T-D,25,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103246,I,0.886,7.339,1,84725,DE-N-O-9-T-D,26,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103253,I,0.182,4.511,1,84732,DE-N-O-12-T-U,27,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103238,I,0.186,5.13,1,84717,UE-M-O-9-T-D,28,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103241,I,0.154,2.725,1,84720,UE-M-O-12-T-D,29,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103234,I,0.158,3.343,1,84713,DE-F-O-9-T-U,30,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103174,I,0.158,5.186,1,84653,NM-Ex-N-5-T-D,31,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103279,I,0.158,4.721,1,84758,UE-E-P-2-T-D,32,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103288,I,0.16,6.045,1,84767,NM-Ex-P-3-T-D,33,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103248,I,1,4.841,1,84727,DE-N-O-11-T-D,34,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103213,I,0.246,3.176,1,84692,NM-On-N-8-T-U,35,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103261,I,0.236,2.566,1,84740,DE-No-O-12-T-U,36,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103258,I,0.236,4.256,1,84737,DE-No-O-9-T-U,37,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103179,I,0.236,2.302,1,84658,NM-Ex-N-6-T-U,38,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103207,I,0.24,5.273,1,84686,NM-On-N-6-T-D,39,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103276,I,1,6.611,1,84755,UE-P-O-11-T-U,40,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103274,I,1,3.028,1,84753,UE-P-O-9-T-U,41,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103251,I,0.428,3.919,1,84730,DE-N-O-10-T-U,42,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103297,I,0.318,3.766,1,84776,UE-M-P-4-T-D,43,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103303,I,0.318,2.015,1,84782,NM-On-P-2-T-D,44,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103278,I,0.268,2.833,1,84757,UE-E-P-1-T-D,45,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103206,I,0.256,4.075,1,84685,NM-On-N-5-T-D,46,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103259,I,0.254,3.389,1,84738,DE-No-O-10-T-U,47,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103208,I,0.254,2.88,1,84687,NM-On-N-7-T-D,48,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103230,I,0.242,2.5,1,84709,DE-F-O-9-T-D,49,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103304,I,0.242,2.284,1,84783,NM-On-P-3-T-D,50,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103178,I,0.242,5.299,1,84657,NM-Ex-N-5-T-U,51,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103204,I,0.242,3.567,1,84683,DE-No-N-7-T-U,52,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103247,I,0.998,4.802,1,84726,DE-N-O-10-T-D,53,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103177,I,0.25,3.688,1,84656,NM-Ex-N-8-T-D,54,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103190,I,1,6.914,1,84669,DE-N-N-5-T-D,55,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103299,I,1,2.963,1,84778,UE-M-P-2-T-U,56,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103286,I,0.156,3.027,1,84765,NM-Ex-P-1-T-D,57,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103316,I,1,3.528,1,84795,UE-P-P-3-T-U,58,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103275,I,1,4.668,1,84754,UE-P-O-10-T-U,59,6600,target,2
7510,2013-02-20_22:31:33,50.148.127.111,1,1992,2,Man,3,English,4,83XP9MFG,25.697,103269,I,0.238,4.43,1,84748,NM-On-O-12-T-U,60,6600,target,2
