"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105457","I","0.664","4.088","1","86676","UE-P-O-3-N-U","1","6635","training","1",NA,"257"
"2","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105456","I","0.034","4.514","1","86675","DE-F-O-2-N-U","2","6635","training","1",NA,"257"
"3","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105455","I","0.872","5.196","1","86674","UE-E-O-1-N-U","3","6635","training","1",NA,"257"
"4","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105532","I","0.956","4.398","1","86751","DE-N-O-7-T-D","1","6636","target","2",NA,"257"
"5","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105554","I","0.53","4.157","1","86773","UE-P-O-5-T-D","2","6636","target","2",NA,"257"
"6","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105492","I","0.374","6.541","1","86711","NM-On-N-3-T-D","3","6636","target","2",NA,"257"
"7","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105635","I","0.57","8.078","1","86854","DD-Nw-O-2-T-D","4","6636","target","2",NA,"257"
"8","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105630","I","0.872","18.204","1","86849","DD-Ew-N-1-T-U","5","6636","target","2",NA,"257"
"9","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105579","I","0.632","4.481","1","86798","UE-M-P-6-T-D","6","6636","target","2",NA,"257"
"10","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105643","I","0.942","7.132","1","86862","DD-Ew-O-2-T-D","7","6636","target","2",NA,"257"
"11","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105575","I","0.294","9.204","1","86794","NM-Ex-P-6-T-U","8","6636","target","2",NA,"257"
"12","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105590","I","0.086","5.73","1","86809","NM-On-P-9-T-U","9","6636","target","2",NA,"257"
"13","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105619","I","0.082","26.206","1","86838","DD-Nw-N-10-T-D","10","6636","target","2",NA,"257"
"14","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105586","I","0.39","9.987","1","86805","NM-On-P-9-T-D","11","6636","target","2",NA,"257"
"15","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105516","I","0.778","4.735","1","86735","DE-F-O-7-T-D","12","6636","target","2",NA,"257"
"16","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105527","I","0.55","4.625","1","86746","UE-M-O-2-T-U","13","6636","target","2",NA,"257"
"17","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105613","I","0.4","8.961","1","86832","DD-Ew-P-8-T-D","14","6636","target","2",NA,"257"
"18","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105528","I","0.96","4.324","1","86747","UE-M-O-7-T-U","15","6636","target","2",NA,"257"
"19","7746","2013-02-28_21:09:19","76.3.243.122","1","1987","2","Woman","3","English","4","6S56SLDR","42.221","105533","I","0.966","3.554","1","86752","DE-N-O-4-T-D","16","6636","target","2",NA,"257"
