"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110692","I","0.032","11.606","1","91767","DE-F-O-2-N-U","1","6782","training","1",NA,"267"
"2","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110691","I","1","5.403","1","91766","UE-E-O-1-N-U","2","6782","training","1",NA,"267"
"3","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110693","I","0.834","3.832","1","91768","UE-P-O-3-N-U","3","6782","training","1",NA,"267"
"4","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110728","I","1","4.161","1","91803","DE-No-N-2-T-U","1","6783","target","2",NA,"267"
"5","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110872","I","0.808","12.047","1","91947","DD-Nw-N-9-T-U","2","6783","target","2",NA,"267"
"6","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110870","I","1","5.395","1","91945","NM-Ex-O-9-T-U","3","6783","target","2",NA,"267"
"7","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110736","I","0.74","4.463","1","91811","UE-M-O-3-T-D","4","6783","target","2",NA,"267"
"8","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110751","I","0.84","5.273","1","91826","NM-On-P-3-T-U","5","6783","target","2",NA,"267"
"9","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110741","I","0.84","2.78","1","91816","NM-On-P-3-T-D","6","6783","target","2",NA,"267"
"10","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110725","I","0.946","7.188","1","91800","UE-E-P-2-T-U","7","6783","target","2",NA,"267"
"11","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110766","I","0.844","8.411","1","91841","UE-M-O-4-T-U","8","6783","target","2",NA,"267"
"12","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110842","I","0.662","6.631","1","91917","DD-Nw-N-8-T-D","9","6783","target","2",NA,"267"
"13","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110753","I","0.662","23.763","1","91828","DD-Ew-O-3-T-U","10","6783","target","2",NA,"267"
"14","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110695","I","0.662","0.669","1","91770","UE-E-P-1-T-D","11","6783","target","2",NA,"267"
"15","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110796","I","0.284","7.373","1","91871","UE-M-O-6-T-D","12","6783","target","2",NA,"267"
"16","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110712","I","0.94","8.423","1","91787","DD-Nw-N-1-T-U","13","6783","target","2",NA,"267"
"17","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110865","I","0.988","6.042","1","91940","UE-E-P-9-T-U","14","6783","target","2",NA,"267"
"18","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110750","I","0.842","5.763","1","91825","NM-Ex-O-3-T-U","15","6783","target","2",NA,"267"
"19","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110848","I","0.962","6.475","1","91923","DE-No-N-8-T-U","16","6783","target","2",NA,"267"
"20","7897","2013-03-04_01:07:33","184.43.108.135","1","1991","2","Woman","3","English","4","6","77.523","110826","I","0.962","9.473","1","91901","UE-M-O-7-T-U","17","6783","target","2",NA,"267"
