subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103632,I,0.978,8.012,1,85111,DE-N-N-10-T-D,30,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103743,I,0.378,8.886,1,85222,NM-On-P-9-T-D,31,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103648,I,0.42,6.859,1,85127,NM-On-N-10-T-D,32,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103720,I,0.222,5.023,1,85199,UE-E-P-6-T-D,33,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103724,I,0.972,5.01,1,85203,UE-E-P-6-T-U,34,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103731,I,0.764,10.239,1,85210,NM-Ex-P-9-T-U,35,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103747,I,0.348,6.522,1,85226,NM-On-P-9-T-U,36,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103754,I,0.256,5.56,1,85233,UE-P-P-8-T-D,37,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103615,I,0.268,5.843,1,85094,NM-Ex-N-1-T-D,38,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103728,I,0.188,4.312,1,85207,NM-Ex-P-6-T-D,39,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103750,I,0.478,10.121,1,85229,NM-On-P-8-T-U,40,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103685,I,0.954,4.1,1,85164,UE-M-O-7-T-U,41,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103738,I,0.328,3.065,1,85217,UE-M-P-8-T-D,42,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103657,I,0.232,4.196,1,85136,UE-E-O-7-T-D,43,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103687,I,0.982,6.151,1,85166,DE-N-O-5-T-D,44,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103641,I,0.964,19.858,1,85120,DE-No-N-3-T-D,45,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103698,I,0.982,3.485,1,85177,DE-No-O-4-T-D,46,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103701,I,0.23,4.818,1,85180,DE-No-O-7-T-U,47,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103727,I,0.248,5.219,1,85206,NM-Ex-P-9-T-D,48,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103692,I,0.164,5.527,1,85171,DE-N-O-2-T-U,49,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103744,I,0.182,6.143,1,85223,NM-On-P-6-T-D,50,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103639,I,0.998,3.381,1,85118,DE-No-N-1-T-D,51,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103667,I,0.762,13.002,1,85146,NM-Ex-O-5-T-U,52,6606,target,2
