"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105262","I","0.718","7.335","1","86481","UE-P-O-3-N-U","1","6633","training","1",NA,"258"
"2","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105260","I","0.88","2.518","1","86479","UE-E-O-1-N-U","2","6633","training","1",NA,"258"
"3","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105261","I","0.06","5.816","1","86480","DE-F-O-2-N-U","3","6633","training","1",NA,"258"
"4","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105393","I","0.544","4.525","1","86612","NM-On-P-7-T-D","1","6634","target","2",NA,"258"
"5","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105303","I","0.384","4.537","1","86522","UE-E-O-1-T-D","2","6634","target","2",NA,"258"
"6","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105315","I","0.924","5.015","1","86534","NM-Ex-O-1-T-U","3","6634","target","2",NA,"258"
"7","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105343","I","0.844","3.751","1","86562","DE-No-O-1-T-D","4","6634","target","2",NA,"258"
"8","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105275","I","0.844","2.457","1","86494","DE-F-N-9-T-U","5","6634","target","2",NA,"258"
"9","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105324","I","0.49","4.079","1","86543","DE-F-O-6-T-U","6","6634","target","2",NA,"258"
"10","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105399","I","0.632","5.961","1","86618","UE-P-P-5-T-D","7","6634","target","2",NA,"258"
"11","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105270","I","0.43","6.837","1","86489","NM-Ex-N-4-T-U","8","6634","target","2",NA,"258"
"12","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105311","I","0.266","6.474","1","86530","NM-Ex-O-1-T-D","9","6634","target","2",NA,"258"
"13","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105368","I","0.084","3.376","1","86587","UE-E-P-10-T-D","10","6634","target","2",NA,"258"
"14","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105432","I","0.204","9.809","1","86651","DD-Ew-N-2-T-D","11","6634","target","2",NA,"258"
"15","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105314","I","0.356","5.098","1","86533","NM-Ex-O-8-T-D","12","6634","target","2",NA,"258"
"16","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105357","I","0.146","4.242","1","86576","NM-On-O-3-T-U","13","6634","target","2",NA,"258"
"17","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105453","I","0.396","19.866","1","86672","DD-Ew-O-3-T-U","14","6634","target","2",NA,"258"
"18","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105406","I","0.808","4.528","1","86625","UE-P-P-12-T-U","15","6634","target","2",NA,"258"
"19","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105284","I","0.378","3.319","1","86503","DE-N-N-2-T-U","16","6634","target","2",NA,"258"
"20","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105304","I","0.268","2.536","1","86523","UE-E-O-6-T-D","17","6634","target","2",NA,"258"
"21","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105280","I","0.772","4.67","1","86499","DE-N-N-2-T-D","18","6634","target","2",NA,"258"
"22","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105419","I","0.352","5.984","1","86638","DD-Ew-P-5-T-U","19","6634","target","2",NA,"258"
"23","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105385","I","0.53","3.334","1","86604","UE-M-P-7-T-D","20","6634","target","2",NA,"258"
"24","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105276","I","0.324","3.514","1","86495","DE-F-N-2-T-U","21","6634","target","2",NA,"258"
"25","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105330","I","0.316","3.123","1","86549","UE-M-O-8-T-D","22","6634","target","2",NA,"258"
"26","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105409","I","0.492","4.601","1","86628","DD-Nw-P-7-T-D","23","6634","target","2",NA,"258"
"27","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105322","I","0.818","3.36","1","86541","DE-F-O-8-T-D","24","6634","target","2",NA,"258"
"28","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105349","I","0.284","3.47","1","86568","DE-No-O-3-T-U","25","6634","target","2",NA,"258"
"29","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105313","I","0.262","3.985","1","86532","NM-Ex-O-3-T-D","26","6634","target","2",NA,"258"
"30","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105377","I","0.154","3.375","1","86596","NM-Ex-P-7-T-D","27","6634","target","2",NA,"258"
"31","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105287","I","0.824","3.471","1","86506","DE-No-N-9-T-D","28","6634","target","2",NA,"258"
"32","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105350","I","0.326","3.246","1","86569","DE-No-O-8-T-U","29","6634","target","2",NA,"258"
"33","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105264","I","0.136","5.508","1","86483","NM-Ex-N-2-T-D","30","6634","target","2",NA,"258"
"34","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105376","I","0.16","2.429","1","86595","NM-Ex-P-10-T-D","31","6634","target","2",NA,"258"
"35","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105268","I","0.202","2.902","1","86487","NM-Ex-N-2-T-U","32","6634","target","2",NA,"258"
"36","7750","2013-02-28_21:10:13","65.23.3.214","1","1990","2","Man","3","ENGLISH","4","ZLDQPD2K","25.66","105404","I","0.81","4.851","1","86623","UE-P-P-10-T-U","33","6634","target","2",NA,"258"
