"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110896","I","0.334","4.545","1","91971","UE-P-O-3-N-U","1","6784","training","1",NA,"264"
"2","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110895","I","0.282","2.716","1","91970","DE-F-O-2-N-U","2","6784","training","1",NA,"264"
"3","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110894","I","0.274","9.999","1","91969","UE-E-O-1-N-U","3","6784","training","1",NA,"264"
"4","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110948","I","1","10.509","1","92023","UE-E-P-3-T-U","1","6785","target","2",NA,"264"
"5","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110978","I","0.47","7.321","1","92053","UE-E-P-5-T-D","2","6785","target","2",NA,"264"
"6","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111060","I","1","5.256","1","92135","DE-N-N-9-T-D","3","6785","target","2",NA,"264"
"7","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111064","I","0.252","5.17","1","92139","NM-On-O-9-T-D","4","6785","target","2",NA,"264"
"8","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110957","I","0.382","5.099","1","92032","UE-P-P-4-T-D","5","6785","target","2",NA,"264"
"9","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111062","I","0.902","5.078","1","92137","DE-F-O-9-T-D","6","6785","target","2",NA,"264"
"10","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111093","I","0.478","6.716","1","92168","NM-Ex-N-10-T-U","7","6785","target","2",NA,"264"
"11","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111078","I","0.048","7.193","1","92153","UE-E-P-10-T-D","8","6785","target","2",NA,"264"
"12","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111055","I","0.998","9.657","1","92130","DD-Nw-P-8-T-U","9","6785","target","2",NA,"264"
"13","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111028","I","1","4.921","1","92103","UE-E-P-7-T-U","10","6785","target","2",NA,"264"
"14","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110900","I","1","3.302","1","91975","DE-N-N-1-T-D","11","6785","target","2",NA,"264"
"15","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111021","I","1","3.93","1","92096","DE-No-N-7-T-D","12","6785","target","2",NA,"264"
"16","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110930","I","0.166","6.995","1","92005","DE-N-N-2-T-U","13","6785","target","2",NA,"264"
"17","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110901","I","1","5.085","1","91976","DE-No-N-1-T-D","14","6785","target","2",NA,"264"
"18","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111071","I","0.222","5.735","1","92146","DE-No-N-9-T-U","15","6785","target","2",NA,"264"
"19","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110926","I","1","6.952","1","92001","DD-Ew-O-2-T-D","16","6785","target","2",NA,"264"
"20","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111082","I","0.418","4.568","1","92157","DE-F-O-10-T-D","17","6785","target","2",NA,"264"
"21","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110911","I","1","4.714","1","91986","DE-No-N-1-T-U","18","6785","target","2",NA,"264"
"22","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","110909","I","1","4.53","1","91984","UE-M-O-1-T-U","19","6785","target","2",NA,"264"
"23","7894","2013-03-04_01:06:49","198.72.219.187","1","1958","2","Woman","3","English","4","KZ2ZWKFE","57.781","111031","I","0.232","5.029","1","92106","DE-No-N-7-T-U","20","6785","target","2",NA,"264"
